"T","W","SR","DSP","DRH","PanE","Date"
0.332258064516129,0.220289855072464,0.265102286401925,0.592307692307692,0.608235294117647,0.192561983471074,10187
0.236405529953917,0.223993558776167,0.322743682310469,0.715384615384617,0.288235294117647,0.298347107438017,10188
0.269585253456221,0.179951690821256,0.296269554753309,0.376923076923075,0.438823529411765,0.238842975206612,10189
0.313824884792627,0.24194847020934,0.330204572803851,0.592307692307692,0.561176470588235,0.258677685950413,10190
0.387557603686636,0.305072463768116,0.35511432009627,0.592307692307692,0.655294117647059,0.232231404958678,10287
0.265898617511521,0.179227053140097,0.253429602888087,0.684615384615383,0.269411764705882,0.285123966942149,10288
0.313824884792627,0.232045088566828,0.365583634175692,0.530769230769229,0.382352941176471,0.318181818181818,10289
0.299078341013825,0.338405797101449,0.266425992779783,0.438461538461537,0.655294117647059,0.21900826446281,10290
0.361751152073733,0.272785829307568,0.297593261131167,0.592307692307692,0.692941176470588,0.192561983471074,10387
0.317511520737327,0.158695652173913,0.170276774969916,0.653846153846154,0.438823529411765,0.225619834710744,10388
0.350691244239631,0.17962962962963,0.204933814681107,0.530769230769229,0.391764705882353,0.245454545454545,10389
0.269585253456221,0.196859903381643,0.319735258724428,0.715384615384617,0.617647058823529,0.199173553719008,10390
0.332258064516129,0.502012882447665,0.122984356197353,0.346153846153846,0.824705882352941,0.159504132231405,10487
0.369124423963134,0.166022544283414,0.293140794223827,0.623076923076925,0.438823529411765,0.245454545454545,10488
0.324884792626728,0.308373590982287,0.221058965102286,0.561538461538463,0.805882352941176,0.146280991735537,10489
0.273271889400922,0.244927536231884,0.385078219013237,0.746153846153846,0.372941176470588,0.30495867768595,10490
0.347004608294931,0.557407407407407,0.287725631768953,0.469230769230771,0.627058823529412,0.318181818181818,10587
0.328571428571429,0.357487922705314,0.160529482551143,0.561538461538463,0.777647058823529,0.172727272727273,10588
0.306451612903226,0.352012882447665,0.232250300842359,0.715384615384617,0.768235294117647,0.146280991735537,10589
0.288018433179724,0.232045088566828,0.369314079422383,0.715384615384617,0.382352941176471,0.298347107438017,10590
0.306451612903226,0.329227053140097,0.266305655836342,0.623076923076925,0.636470588235294,0.212396694214876,10687
0.313824884792627,0.257004830917874,0.350421179302046,0.623076923076925,0.683529411764706,0.199173553719008,10688
0.236405529953917,0.508212560386473,0.34777376654633,0.653846153846154,0.504705882352941,0.344628099173554,10689
0.313824884792627,0.123107890499195,0.379061371841155,0.776923076923079,0.335294117647059,0.265289256198347,10690
0.324884792626728,0.348309178743961,0.301684717208183,0.592307692307692,0.655294117647059,0.238842975206612,10787
0.251152073732719,0.249275362318841,0.268953068592058,0.653846153846154,0.74,0.146280991735537,10788
0.147926267281106,0.188003220611916,0.250300842358604,0.776923076923079,0.551764705882353,0.172727272727273,10789
0.276958525345622,0.169726247987118,0.342117930204573,0.807692307692308,0.495294117647059,0.225619834710744,10790
0.276958525345622,0.266505636070853,0.370998796630566,0.746153846153846,0.58,0.238842975206612,10887
0.284331797235023,0.235024154589372,0.342358604091456,0.684615384615383,0.664705882352941,0.192561983471074,10888
0.151612903225806,0.235024154589372,0.367388688327317,0.9,0.551764705882353,0.21900826446281,10889
0.321198156682028,0.193558776167472,0.353790613718412,0.623076923076925,0.589411764705882,0.199173553719008,10890
0.295391705069124,0.29219001610306,0.329482551143201,0.746153846153846,0.448235294117647,0.291735537190083,10987
0.299078341013825,0.244122383252818,0.377617328519856,0.684615384615383,0.692941176470588,0.192561983471074,10988
0.195852534562212,0.247101449275362,0.383273164861613,0.776923076923079,0.410588235294118,0.271900826446281,10989
0.376497695852535,0.196859903381643,0.355836341756919,0.592307692307692,0.532941176470588,0.225619834710744,10990
0.265898617511521,0.219967793880837,0.392418772563177,0.653846153846154,0.438823529411765,0.278512396694215,11087
0.402304147465438,0.223268921095008,0.330806257521059,0.623076923076925,0.448235294117647,0.271900826446281,11088
0.269585253456221,0.213365539452496,0.38531889290012,0.592307692307692,0.542352941176471,0.225619834710744,11089
